ts,o,h,l,c,v
1787101020000,64519.3,64521.4,64514.2,64514.2,0.882823
1787101080000,64514.2,64514.6,64505.2,64513.5,4.010351
1787101140000,64513.5,64513.6,64482.2,64488.2,13.095958
1787101200000,64488.2,64490.8,64456.2,64464.7,9.788872
1787101260000,64464.7,64484.5,64447.3,64447.3,6.995676
1787101320000,64447.3,64456.9,64437.5,64441.2,5.891011
1787101380000,64441.2,64449.1,64439.7,64448.9,4.721471
1787101440000,64448.9,64449.2,64438.9,64441.8,1.89063
1787101500000,64441.8,64449.2,64436.6,64436.7,5.673202
1787101560000,64436.7,64494.2,64436.7,64494.2,12.675498
1787101620000,64494.2,64538.5,64492.1,64517.7,20.144355
1787101680000,64517.7,64517.7,64499.3,64509.3,6.31826
1787101740000,64509.3,64545.7,64509.3,64545.7,4.138192
1787101800000,64545.7,64545.7,64520.8,64520.8,6.270851
1787101860000,64520.8,64525.1,64509.5,64525.1,4.47494
1787101920000,64525.1,64525.1,64491.2,64513.3,9.138469
1787101980000,64513.3,64521.1,64512.4,64521.1,2.71239
1787102040000,64521.1,64531.7,64512.6,64528.8,11.432994
1787102100000,64528.8,64528.8,64511.2,64511.2,9.512194
1787102160000,64511.2,64511.2,64502.0,64502.0,3.224771
1787102220000,64502.0,64502.0,64475.8,64475.8,3.059534
1787102280000,64475.8,64479.0,64454.2,64479.0,8.299186
1787102340000,64479.0,64510.2,64479.0,64510.2,2.957451
1787102400000,64510.2,64529.0,64506.9,64529.0,5.711679
1787102460000,64529.0,64529.4,64506.1,64507.3,6.276759
1787102520000,64507.3,64531.9,64507.3,64521.2,4.207082
1787102580000,64521.2,64521.2,64486.3,64487.8,9.82351
1787102640000,64487.8,64499.1,64481.1,64481.1,4.476566
1787102700000,64481.1,64481.1,64444.4,64444.4,2.159791
1787102760000,64444.4,64487.3,64443.5,64483.7,6.884964
1787102820000,64483.7,64524.2,64483.7,64504.1,5.674151
1787102880000,64504.1,64504.1,64480.0,64480.0,1.527471
1787102940000,64480.0,64486.9,64476.7,64486.9,6.495914
1787103000000,64486.9,64494.5,64479.5,64479.5,8.995008
1787103060000,64479.5,64479.6,64455.1,64455.2,1.222213
1787103120000,64455.2,64467.9,64455.1,64458.6,3.693361
1787103180000,64458.6,64479.8,64458.6,64479.8,2.681019
1787103240000,64479.8,64491.2,64469.5,64469.5,2.865348
1787103300000,64469.5,64469.5,64462.4,64462.5,0.981032
1787103360000,64462.5,64468.0,64455.1,64467.9,3.395526
1787103420000,64467.9,64467.9,64453.7,64453.7,1.769894
1787103480000,64453.7,64467.4,64453.5,64456.7,3.03731
1787103540000,64456.7,64461.3,64452.7,64461.2,3.659722
1787103600000,64461.2,64462.6,64461.2,64462.5,0.157536
1787103660000,64462.5,64462.6,64444.9,64444.9,2.172915
1787103720000,64444.9,64445.0,64415.6,64415.9,14.636633
1787103780000,64415.9,64415.9,64388.5,64408.4,9.09564
1787103840000,64408.4,64417.0,64406.1,64417.0,2.21146
1787103900000,64417.0,64417.1,64406.8,64408.0,1.60067
1787103960000,64408.0,64414.9,64407.9,64414.9,1.260974
1787104020000,64414.9,64417.3,64411.1,64411.2,1.78057
1787104080000,64411.2,64411.2,64388.4,64388.4,1.781022
1787104140000,64388.4,64412.7,64388.4,64409.8,10.016991
