timestamp,open,high,low,close,volume
1787440980000,76986.1,77018.9,76986.1,77018.9,5.342213
1787441040000,77018.9,77018.9,76981.0,76990.0,4.544995
1787441100000,76990.0,77002.8,76989.6,76991.0,1.662095
1787441160000,76991.0,77017.1,76991.0,77009.1,3.485001
1787441220000,77009.1,77009.1,76992.3,76998.2,0.819796
1787441280000,76998.2,77004.6,76939.2,76939.2,7.936026
1787441340000,76939.2,76944.3,76935.8,76944.2,1.404431
1787441400000,76944.2,76965.3,76944.2,76949.5,4.46378
1787441460000,76949.5,76967.8,76949.5,76967.8,2.282016
1787441520000,76967.8,76977.0,76941.4,76941.4,1.63165
1787441580000,76941.4,76942.8,76929.1,76936.7,2.696169
1787441640000,76936.7,76936.7,76902.3,76905.3,3.138697
1787441700000,76905.3,76924.1,76905.3,76924.1,2.899449
1787441760000,76924.1,76924.1,76888.5,76888.5,3.985826
1787441820000,76888.5,76953.6,76888.4,76953.6,2.761986
1787441880000,76953.6,76975.6,76944.2,76975.5,2.543059
1787441940000,76975.5,76989.0,76959.1,76974.9,3.933745
1787442000000,76974.9,77000.2,76974.9,77000.1,2.129101
1787442060000,77000.1,77015.6,76995.0,77015.6,1.313719
1787442120000,77015.6,77029.9,77015.6,77027.4,3.14814
1787442180000,77027.4,77027.5,77004.6,77019.9,2.675151
1787442240000,77019.9,77024.7,77006.9,77006.9,1.338296
1787442300000,77006.9,77018.0,77000.1,77017.9,1.310209
1787442360000,77017.9,77030.0,77017.9,77030.0,0.945855
1787442420000,77030.0,77037.7,77029.9,77031.6,0.438239
1787442480000,77031.6,77051.4,77031.6,77051.4,0.47533
1787442540000,77051.4,77095.7,77051.4,77095.3,1.610037
1787442600000,77095.3,77103.4,77072.3,77087.6,3.416759
1787442660000,77087.6,77122.7,77087.6,77093.7,2.655958
1787442720000,77093.7,77102.5,77059.6,77059.6,2.158407
1787442780000,77059.6,77114.4,77059.6,77111.7,3.130353
1787442840000,77111.7,77111.7,77079.6,77090.2,2.371937
1787442900000,77090.2,77102.4,77089.4,77091.0,1.387422
1787442960000,77091.0,77091.0,77082.9,77082.9,0.190673
1787443020000,77082.9,77099.9,77082.9,77091.4,1.460265
1787443080000,77091.4,77091.4,77091.3,77091.3,0.14982
1787443140000,77091.3,77091.3,77066.8,77067.2,1.348612
1787443200000,77067.2,77113.9,77067.2,77113.9,1.51577
1787443260000,77113.9,77117.9,77107.1,77113.1,1.996892
1787443320000,77113.1,77130.1,77109.7,77130.1,1.614632
1787443380000,77130.1,77138.8,77111.2,77128.6,3.371179
1787443440000,77128.6,77133.3,77113.1,77126.1,3.210264
1787443500000,77126.1,77135.9,77108.9,77135.9,3.201882
1787443560000,77135.9,77135.9,77117.4,77121.8,2.113671
1787443620000,77121.8,77138.7,77121.8,77132.7,2.607575
1787443680000,77132.7,77132.7,77116.1,77116.1,3.511176
1787443740000,77116.1,77116.1,77085.2,77086.4,4.214485
1787443800000,77086.4,77086.4,77068.7,77068.7,2.384074
1787443860000,77068.7,77083.6,77028.6,77054.0,7.295641
1787443920000,77054.0,77075.0,77054.0,77074.9,1.051625
1787443980000,77074.9,77075.0,77048.1,77074.3,2.375816
1787444040000,77074.3,77089.2,77073.3,77073.3,1.823984
1787444100000,77073.3,77073.3,77045.3,77055.5,3.107505
1787444160000,77055.5,77067.8,77045.4,77057.2,1.633143
1787444220000,77057.2,77074.7,77057.2,77073.3,1.069829
1787444280000,77073.3,77109.8,77065.5,77109.8,2.050481
1787444340000,77109.8,77128.7,77097.9,77098.0,2.317608
1787444400000,77098.0,77116.2,77093.6,77095.2,2.461046
1787444460000,77095.2,77116.2,77092.1,77096.7,5.536752
1787444520000,77096.7,77114.1,77090.0,77096.9,1.872735
1787444580000,77096.9,77127.2,77094.6,77127.2,0.754335
1787444640000,77127.2,77196.4,77112.6,77194.9,7.312682
1787444700000,77194.9,77194.9,77164.1,77189.5,2.754448
1787444760000,77189.5,77226.3,77186.4,77208.2,3.494783
1787444820000,77208.2,77242.0,77204.5,77234.0,1.795002
1787444880000,77234.0,77242.9,77207.2,77219.5,2.244421
1787444940000,77219.5,77230.0,77218.2,77220.3,1.452808
1787445000000,77220.3,77230.6,77218.2,77229.3,1.805524
1787445060000,77229.3,77254.7,77229.3,77231.3,2.254408
1787445120000,77231.3,77248.2,77231.3,77240.0,1.928336
1787445180000,77240.0,77288.0,77240.0,77287.4,2.506979
1787445240000,77287.4,77287.4,77262.4,77266.4,3.088554
1787445300000,77266.4,77287.1,77263.8,77274.9,2.667047
1787445360000,77274.9,77276.0,77239.6,77251.6,2.883594
1787445420000,77251.6,77289.6,77251.6,77288.0,2.078716
1787445480000,77288.0,77355.3,77224.5,77273.4,10.58661
1787445540000,77273.4,77291.9,77255.1,77275.0,11.121235
1787445600000,77275.0,77303.6,77234.7,77239.7,9.371178
1787445660000,77239.7,77265.7,77229.0,77236.7,2.126282
1787445720000,77236.7,77265.3,77236.7,77255.8,2.966626
1787445780000,77255.8,77275.8,77249.4,77269.3,2.957066
1787445840000,77269.3,77302.3,77269.3,77272.3,4.794888
1787445900000,77272.3,77300.0,77260.9,77283.5,5.708341
1787445960000,77283.5,77283.5,77245.4,77249.1,1.860156
1787446020000,77249.1,77260.8,77245.3,77260.8,0.926531
1787446080000,77260.8,77268.9,77253.9,77267.8,1.414563
1787446140000,77267.8,77328.1,77267.7,77316.2,7.390864
1787446200000,77316.2,77316.2,77300.6,77307.8,1.331012
1787446260000,77307.8,77334.7,77307.8,77321.1,1.638186
1787446320000,77321.1,77337.9,77321.0,77337.9,1.9789
1787446380000,77337.9,77341.0,77323.1,77333.6,2.561653
1787446440000,77333.6,77343.8,77330.1,77330.2,2.582777
1787446500000,77330.2,77340.2,77302.7,77332.1,3.92797
1787446560000,77332.1,77332.1,77313.3,77317.8,1.510799
1787446620000,77317.8,77335.3,77316.9,77316.9,2.282217
1787446680000,77316.9,77335.8,77316.9,77335.7,1.171822
1787446740000,77335.7,77336.8,77284.4,77293.7,8.174262
1787446800000,77293.7,77293.8,77258.4,77263.3,10.149639
1787446860000,77263.3,77271.1,77234.7,77254.2,8.228835
1787446920000,77254.2,77254.2,77246.6,77246.7,1.053624
1787446980000,77246.7,77246.7,77189.7,77214.4,8.134757
1787447040000,77214.4,77216.9,77171.3,77192.7,6.535933
1787447100000,77192.7,77258.2,77192.7,77258.2,2.117575
1787447160000,77258.2,77261.8,77197.6,77222.0,6.041166
1787447220000,77222.0,77223.5,77208.1,77223.5,1.198584
1787447280000,77223.5,77243.1,77173.0,77243.1,4.077002
1787447340000,77243.1,77262.9,77238.7,77249.3,1.821843
1787447400000,77249.3,77265.6,77249.3,77264.3,2.396255
1787447460000,77264.3,77266.8,77247.4,77247.4,2.098516
1787447520000,77247.4,77253.0,77247.4,77253.0,0.7173
1787447580000,77253.0,77287.0,77253.0,77284.1,1.697875
1787447640000,77284.1,77405.9,77284.1,77403.0,33.933391
1787447700000,77403.0,77403.0,77361.8,77361.8,4.208005
1787447760000,77361.8,77361.8,77314.7,77317.2,2.567506
1787447820000,77317.2,77317.3,77302.4,77305.7,1.484626
1787447880000,77305.7,77307.9,77292.0,77293.5,3.322223
1787447940000,77293.5,77306.4,77293.5,77306.4,4.476744
1787448000000,77306.4,77330.7,77306.3,77325.0,1.608149
1787448060000,77325.0,77325.8,77307.7,77307.8,2.253625
1787448120000,77307.8,77322.3,77300.6,77319.0,1.042902
1787448180000,77319.0,77319.0,77295.0,77295.0,1.427951
1787448240000,77295.0,77302.8,77294.9,77300.2,0.421293
1787448300000,77300.2,77300.2,77251.7,77262.0,5.318506
1787448360000,77262.0,77276.7,77262.0,77276.6,0.932472
1787448420000,77276.6,77276.6,77258.2,77258.2,0.768031
1787448480000,77258.2,77258.2,77252.4,77252.4,0.281872
1787448540000,77252.4,77267.9,77252.3,77267.9,0.89305
1787448600000,77267.9,77300.5,77267.9,77300.5,1.362321
1787448660000,77300.5,77316.1,77255.4,77255.4,2.979398
1787448720000,77255.4,77255.4,77221.2,77221.3,7.959338
1787448780000,77221.3,77221.3,77178.9,77178.9,4.778312
1787448840000,77178.9,77220.7,77178.9,77209.0,1.679413
1787448900000,77209.0,77218.3,77182.2,77217.2,3.301147
1787448960000,77217.2,77245.1,77210.6,77245.1,1.500859
1787449020000,77245.1,77250.8,77224.9,77238.8,2.865126
1787449080000,77238.8,77252.7,77238.8,77239.8,0.956936
1787449140000,77239.8,77254.3,77239.8,77254.3,0.668203
1787449200000,77254.3,77276.9,77249.2,77249.2,2.163302
1787449260000,77249.2,77249.2,77221.9,77230.3,1.601917
1787449320000,77230.3,77231.2,77168.9,77188.8,3.533473
1787449380000,77188.8,77223.5,77183.4,77202.5,2.234036
1787449440000,77202.5,77255.0,77200.1,77255.0,2.122482
1787449500000,77255.0,77272.5,77243.3,77272.5,0.954392
1787449560000,77272.5,77327.9,77266.8,77300.3,4.696857
1787449620000,77300.3,77305.7,77270.9,77276.7,1.302159
1787449680000,77276.7,77276.7,77234.6,77234.7,1.209332
1787449740000,77234.7,77249.4,77234.7,77245.6,1.134733
1787449800000,77245.6,77264.0,77200.0,77264.0,10.194974
1787449860000,77264.0,77265.7,77248.2,77248.3,1.484712
1787449920000,77248.3,77279.9,77248.3,77279.9,1.202275
