timestamp,open,high,low,close,volume
1787440980000,0.09166,0.09184,0.09166,0.09184,24669.8
1787441040000,0.09184,0.09185,0.09165,0.09171,39742.7
1787441100000,0.09171,0.09177,0.09169,0.09176,90068.1
1787441160000,0.09176,0.09192,0.09175,0.09188,127472.4
1787441220000,0.09188,0.0919,0.09182,0.09187,43957.1
1787441280000,0.09187,0.09189,0.0917,0.09171,111743.9
1787441340000,0.09171,0.09177,0.09169,0.0917,18851.4
1787441400000,0.0917,0.09172,0.09168,0.09172,22210.7
1787441460000,0.09172,0.09174,0.09168,0.09172,30375.2
1787441520000,0.09172,0.09172,0.09159,0.09164,28413.9
1787441580000,0.09164,0.09164,0.09144,0.09146,68304.1
1787441640000,0.09146,0.09146,0.09112,0.09117,292262.9
1787441700000,0.09117,0.09137,0.09116,0.09132,153921.9
1787441760000,0.09132,0.09132,0.0912,0.0912,46656.9
1787441820000,0.0912,0.09142,0.0912,0.09142,82304.6
1787441880000,0.09142,0.09148,0.09132,0.09144,106221.4
1787441940000,0.09144,0.09155,0.09137,0.09152,101365.7
1787442000000,0.09152,0.09159,0.0915,0.09155,60251.2
1787442060000,0.09155,0.09162,0.09152,0.09162,24208.8
1787442120000,0.09162,0.09166,0.09157,0.09159,148822.4
1787442180000,0.09159,0.09159,0.09152,0.09159,30649.8
1787442240000,0.09159,0.09159,0.09157,0.09157,108723.2
1787442300000,0.09157,0.09164,0.09156,0.09163,72511.7
1787442360000,0.09163,0.09166,0.0916,0.09166,68201.4
1787442420000,0.09166,0.09176,0.09165,0.09175,30457.9
1787442480000,0.09175,0.09186,0.0917,0.09179,35600.6
1787442540000,0.09179,0.09193,0.09179,0.09193,58151.0
1787442600000,0.09193,0.09195,0.09183,0.0919,51095.2
1787442660000,0.0919,0.092,0.09188,0.09197,28884.1
1787442720000,0.09197,0.09201,0.09189,0.09189,78247.3
1787442780000,0.09189,0.09215,0.09187,0.09206,48487.9
1787442840000,0.09206,0.09209,0.092,0.09209,38401.8
1787442900000,0.09209,0.09211,0.09194,0.09194,47138.2
1787442960000,0.09194,0.09198,0.09193,0.09193,237838.5
1787443020000,0.09193,0.09204,0.09193,0.09203,157677.2
1787443080000,0.09203,0.09203,0.09196,0.09196,45966.0
1787443140000,0.09196,0.09196,0.09186,0.09188,85794.8
1787443200000,0.09188,0.09206,0.09187,0.09202,57971.5
1787443260000,0.09202,0.09208,0.09194,0.09203,115024.7
1787443320000,0.09203,0.09218,0.09201,0.09209,200958.9
1787443380000,0.09209,0.0922,0.09205,0.0922,253740.4
1787443440000,0.0922,0.09229,0.09205,0.09219,132403.2
1787443500000,0.09219,0.09239,0.0921,0.09229,170488.7
1787443560000,0.09229,0.0923,0.09205,0.09207,64742.3
1787443620000,0.09207,0.09228,0.09207,0.09225,137617.0
1787443680000,0.09225,0.09239,0.09222,0.09228,91622.0
1787443740000,0.09228,0.09228,0.09207,0.09211,134405.4
1787443800000,0.09211,0.09215,0.09207,0.0921,125864.4
1787443860000,0.0921,0.09215,0.09202,0.09206,73584.0
1787443920000,0.09206,0.09206,0.09192,0.09198,62401.7
1787443980000,0.09198,0.09204,0.09184,0.09203,101861.0
1787444040000,0.09203,0.09212,0.09201,0.09204,245998.7
1787444100000,0.09204,0.09209,0.09197,0.092,47482.9
1787444160000,0.092,0.09217,0.092,0.09214,67549.5
1787444220000,0.09214,0.09223,0.09213,0.09213,60070.2
1787444280000,0.09213,0.09226,0.092,0.09226,174517.7
1787444340000,0.09226,0.0923,0.09213,0.09219,127338.6
1787444400000,0.09219,0.09227,0.09205,0.09209,136320.0
1787444460000,0.09209,0.09222,0.09208,0.0921,238441.4
1787444520000,0.0921,0.09216,0.09205,0.09212,44870.3
1787444580000,0.09212,0.09225,0.0921,0.09224,130075.8
1787444640000,0.09224,0.09234,0.09219,0.09228,116221.3
1787444700000,0.09228,0.09252,0.09228,0.09252,143136.9
1787444760000,0.09252,0.09267,0.09251,0.09265,92481.3
1787444820000,0.09265,0.09276,0.09256,0.09258,121878.7
1787444880000,0.09258,0.09268,0.0925,0.09257,94276.8
1787444940000,0.09257,0.09284,0.09257,0.09276,382478.1
1787445000000,0.09276,0.0929,0.09275,0.0929,249536.1
1787445060000,0.0929,0.093,0.0929,0.09293,155298.0
1787445120000,0.09293,0.09311,0.09293,0.09307,131278.3
1787445180000,0.09307,0.09319,0.09301,0.09318,153170.2
1787445240000,0.09318,0.09319,0.09298,0.09299,191379.3
1787445300000,0.09299,0.09299,0.09292,0.09296,122960.3
1787445360000,0.09296,0.09306,0.09286,0.09306,138090.9
1787445420000,0.09306,0.09337,0.09302,0.09337,192862.1
1787445480000,0.09337,0.09369,0.09312,0.09325,1638667.8
1787445540000,0.09325,0.09335,0.09317,0.09333,304583.8
1787445600000,0.09333,0.09355,0.09329,0.0933,445314.3
1787445660000,0.0933,0.09335,0.09321,0.09324,72439.4
1787445720000,0.09324,0.09336,0.0932,0.09323,163667.2
1787445780000,0.09323,0.09335,0.09319,0.09335,94875.5
1787445840000,0.09335,0.09379,0.09332,0.09352,812607.2
1787445900000,0.09352,0.09412,0.09343,0.09404,774715.8
